Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Scythe - Heat 2-2,05/24/2026,4:00 PM,05/24/2026,7:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Ticket to Ride - SEMI,05/24/2026,5:00 PM,05/24/2026,7:00 PM,False,Session: SEMI,Rooks Con 2026,True
Wingspan - Heat 3-3,05/24/2026,5:00 PM,05/24/2026,8:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
SETI - Heat 2-2,05/24/2026,5:00 PM,05/24/2026,9:00 PM,False,Session: Heat 2-2,Rooks Con 2026,True
Space Base - SEMI,05/24/2026,6:00 PM,05/24/2026,7:00 PM,False,Session: SEMI,Rooks Con 2026,True
Ecos - FINAL,05/24/2026,6:00 PM,05/24/2026,8:00 PM,False,Session: FINAL,Rooks Con 2026,True
Quacks - Heat 4-4,05/24/2026,6:00 PM,05/24/2026,7:00 PM,False,Session: Heat 4-4,Rooks Con 2026,True
Azul - SEMI/FINAL,05/24/2026,7:00 PM,05/24/2026,9:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Quacks - SEMI,05/24/2026,7:00 PM,05/24/2026,8:00 PM,False,Session: SEMI,Rooks Con 2026,True
Gravwell - Heat 3-3,05/24/2026,7:00 PM,05/24/2026,8:00 PM,False,Session: Heat 3-3,Rooks Con 2026,True
Small World - SEMI/FINAL,05/24/2026,7:00 PM,05/24/2026,10:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
Casual Clocktower (no baubles/coasters/plaques) - Open Play,05/24/2026,8:00 PM,05/24/2026,11:00 PM,False,Session: Open Play,Rooks Con 2026,True
Dune Imperium Uprising - FINAL,05/24/2026,8:00 PM,05/24/2026,11:00 PM,False,Session: FINAL,Rooks Con 2026,True
Wingspan - SEMI,05/24/2026,8:00 PM,05/24/2026,11:00 PM,False,Session: SEMI,Rooks Con 2026,True
Space Base - FINAL,05/24/2026,8:00 PM,05/24/2026,9:00 PM,False,Session: FINAL,Rooks Con 2026,True
Potion Explosion - FINAL,05/24/2026,9:00 PM,05/24/2026,10:00 PM,False,Session: FINAL,Rooks Con 2026,True
Mancala - Continuous,05/24/2026,9:00 PM,05/24/2026,11:00 PM,False,Session: Continuous,Rooks Con 2026,True
White Castle - FINAL,05/24/2026,9:00 PM,05/24/2026,11:00 PM,False,Session: FINAL,Rooks Con 2026,True
Love Letter - Continuous,05/24/2026,11:00 PM,05/25/2026,12:00 AM,False,Session: Continuous,Rooks Con 2026,True
Castles of Burgundy - FINAL,05/25/2026,9:00 AM,05/25/2026,12:00 PM,False,Session: FINAL,Rooks Con 2026,True
Scythe - FINAL,05/25/2026,9:00 AM,05/25/2026,12:00 PM,False,Session: FINAL,Rooks Con 2026,True
Quacks - FINAL,05/25/2026,9:00 AM,05/25/2026,10:00 AM,False,Session: FINAL,Rooks Con 2026,True
Catan (Base Only) - FINAL,05/25/2026,9:00 AM,05/25/2026,11:00 AM,False,Session: FINAL,Rooks Con 2026,True
SETI - FINAL,05/25/2026,9:00 AM,05/25/2026,1:00 PM,False,Session: FINAL,Rooks Con 2026,True
Wingspan - FINAL,05/25/2026,10:00 AM,05/25/2026,1:00 PM,False,Session: FINAL,Rooks Con 2026,True
UnMatched - Continuous,05/25/2026,10:00 AM,05/25/2026,1:00 PM,False,Session: Continuous,Rooks Con 2026,True
Trickerion - FINAL,05/25/2026,10:00 AM,05/25/2026,1:00 PM,False,Session: FINAL,Rooks Con 2026,True
Cascadia - FINAL,05/25/2026,11:00 AM,05/25/2026,12:00 PM,False,Session: FINAL,Rooks Con 2026,True
Ticket to Ride - FINAL,05/25/2026,12:00 PM,05/25/2026,2:00 PM,False,Session: FINAL,Rooks Con 2026,True
Gravwell - SEMI/FINAL,05/25/2026,12:00 PM,05/25/2026,2:00 PM,False,Session: SEMI/FINAL,Rooks Con 2026,True
End of Con Scattergories/Trivia - Continuous,05/25/2026,2:00 PM,05/25/2026,4:00 PM,False,Session: Continuous,Rooks Con 2026,True
